time,pv generation Alborz,pv generation Ardebil,pv generation Bushehr,pv generation Chahar Mahall and Bakhtiari,pv generation East Azarbaijan,pv generation Esfahan,pv generation Fars,pv generation Gilan,pv generation Golestan,pv generation Hamadan,pv generation Hormozgan,pv generation Ilam,pv generation Kerman,pv generation Kermanshah,pv generation Khuzestan,pv generation Kohgiluyeh and Buyer Ahmad,pv generation Kordestan,pv generation Lorestan,pv generation Markazi,pv generation Mazandaran,pv generation North Khorasan,pv generation Qazvin,pv generation Qom,pv generation Razavi Khorasan,pv generation Semnan,pv generation Sistan and Baluchestan,pv generation South Khorasan,pv generation Tehran,pv generation West Azarbaijan,pv generation Yazd,pv generation Zanjan
2025-10-13 07:00:00,8329.613880428797,19775.19318477092,42375.59508413652,28051.060543629836,61316.15428508192,222745.3547495612,234111.47369535005,7239.5996015560595,17770.621529100797,19204.935747338408,134257.91819615682,28282.65046243598,345297.43319453544,24768.00296845269,80812.33157368249,23611.077505143174,40893.673953329744,40032.951998895835,37483.165103973166,16542.9657400449,42328.03849406119,19436.99434079205,21520.057110329835,252794.46390214257,150883.68740083388,353895.3324452639,184855.49089530783,20113.712100571134,33013.982372200444,234686.662246099,26937.323083802927
2025-10-13 08:00:00,9130.288767377611,22211.056417538475,46033.47548348571,30544.51810447779,68782.07097356743,240840.81027937413,251947.47928702857,8128.2772653631755,19077.15901573634,21340.02518050212,145370.90406251806,31875.266067660756,365817.2204367572,27765.45746422643,88420.73748471802,25760.239976128072,45636.30005962262,43981.353965095615,41110.536403207734,18064.01149797684,44829.22804024643,21460.167860444264,23453.512141717183,265085.2299437886,161876.4680416006,366837.4642467415,192993.7779233342,21896.084102559485,38033.504721776895,250156.664039115,30088.441017020574
2025-10-13 09:00:00,9243.704463884684,22237.28377969275,46928.2129403131,31147.535724828642,70878.1386139235,243826.7873868104,254771.9829990611,8397.327353098319,19130.01081769488,21937.09648533319,145152.8275760563,33143.47486046853,360417.534466873,29094.05824858188,91196.74146735622,26308.313236909515,47470.22964299928,46024.99711986592,41304.95188929616,18338.14298102441,44590.22440557158,21334.736319517877,23871.50670315373,260621.84089419764,162403.55796907484,356833.99165984575,190542.91721114249,22240.648261034014,40070.07229319582,250255.50612267875,30126.028547225804
2025-10-13 10:00:00,8828.903839992361,20335.8461841126,45008.49872955502,29943.55001487852,67074.80755385105,232677.77253118073,242992.63686937027,7701.693132478684,17923.307769422066,21332.624422841876,127156.26453593481,32258.042278962483,321157.2178265481,28272.356650664417,88097.9796482294,25294.805101147816,46317.73024887103,44635.1542969109,40490.761569022354,17386.549945374245,41385.023057191465,19902.206647126324,22758.339632828487,238826.50099039156,153188.47060365035,318946.45149889693,176099.87429922758,21208.56713261231,38116.605979136795,235646.71401694557,25599.91666588551
2025-10-13 11:00:00,7844.762323834958,18078.305130491804,40054.2399338973,26720.754426294483,63337.821734025536,205405.90606479466,213792.58412952174,6521.173606936233,15278.683771080418,18831.131871712667,108820.46573221438,29190.470523439544,269237.99606235523,24691.665864473416,79314.88480070305,22539.256984094965,41041.739083966444,40221.11576605713,35409.02956497021,15214.75566925157,34863.864445411724,17341.847900444875,20162.62850480404,197995.44515659564,132549.4459675631,263044.6489676259,147705.7976704546,18640.777422202256,35905.63351863874,203734.7134893694,23613.535549879183
2025-10-13 12:00:00,5871.129097537067,14016.064118420165,31310.24147972424,20812.941490044162,50181.73840665467,158233.28308884508,164372.24533290073,4971.267996970598,11038.111453444275,14116.699138964867,78114.83957907933,23736.34882214703,187977.6112761947,20763.792809662125,62716.89078092682,16566.434409733527,33926.4142237577,32331.74498254485,26321.306653578435,11454.428175118079,24594.232199741433,12202.58687430594,15026.627104384808,137687.1652661026,98586.47226072954,181165.93197726586,102865.64066879234,14277.114821122555,28711.754399539237,150416.22415122113,18634.91709547305
2025-10-13 13:00:00,3385.656770609328,9013.752753067802,18761.61135896815,12994.139836555465,32089.708481043977,91962.04215301522,95159.86962782426,2774.8276811585806,5498.5529502057,8963.257407374493,41383.520254147516,15792.878623796825,97865.62065057039,14085.664490483914,40031.75607850338,10720.314960744568,22797.337004541045,20713.97961170663,16191.300901689465,6451.081905381929,11466.07319626553,6362.060507845023,9098.723903291286,59939.45679744864,52405.68749086453,77523.73229334461,45333.09711208298,8228.714136229082,19646.392769605078,79494.31076454103,11908.734320672655
2025-10-13 14:00:00,946.0033691244392,2862.674784343901,5276.2105045023545,4075.80789685803,12124.715795476819,23537.90227586539,23983.653769613247,861.3359612385827,963.3935204148853,3225.0021874985373,7786.497529436136,6079.528438044141,15776.60616786658,5582.98002300719,13477.922437603285,3316.5972685442093,8950.600795155677,7304.584537284543,4513.304805579804,1532.2555825011284,591.6432785586359,2036.0627603978573,2446.419033435885,632.1078577759413,10475.728116497052,74.89849210293376,1.444567372474913,2046.0962371768724,8280.783334354448,14806.423391003555,4466.881465415937
2025-10-13 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-13 16:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
