technology,Bottom storage temperature,C in fuel,C stored,CO2 intensity,CO2 stored,FOM,Motor size,Top storage temperature,VOM,ammonia-input,c_b,c_v,capacity,capture rate,capture_rate,carbondioxide-input,carbondioxide-output,clinker-input,coal-input,commodity,compression-electricity-input,compression-heat-output,discount rate,district heat surcharge,district heat-input,economic_lifetime,efficiency,efficiency-biochar,efficiency-biomass,efficiency-electricity,efficiency-heat,efficiency-hydrogen,efficiency-tot,electricity-input,energy to power ratio,fuel,gas-input,hbi-input,heat-input,heat-output,hydrogen-input,investment,lifetime,lohc-input,methane-input,methanol-input,min_fill_level,naphtha-input,nitrogen-input,oil-input,ore-input,p_nom_ratio,pelletizing cost,scrap-input,slag-input,standing losses,temperature difference,wood-input,yield-biochar,marginal_cost,capital_cost
Compressed-Air-Adiabatic-store,,,,0.0,,0.43,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,5448.7894,60.0,,,,,,,,,,,,,,,,,0.0,411.5428432947156
Concrete-charger,,,,0.0,,1.075,,,0.0,,,,,,,,,,,,,,0.07,,,,0.99,,,,,,,,,0.0,,,,,,166105.3393,35.0,,,,,,,,,,,,,,,,,0.0,14614.60547045519
Concrete-discharger,,,,0.0,,0.2688,,,0.0,,,,,,,,,,,,,,0.07,,,,0.4343,,,,,,,,,0.0,,,,,,664421.3572,35.0,,,,,,,,,,,,,,,,,0.0,53101.85690007436
Concrete-store,,,,0.0,,0.3269,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,26738.4056,35.0,,,,,,,,,,,,,,,,,0.0,2152.520787095482
"Container feeder, ammonia",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.7754,,,,,,,,,0.0,,,,,,41959454.4301,30.0,,,,,,,,,,,,,,,,,0.0,3381361.5258101206
"Container feeder, diesel",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.7718,,,,,,,,,0.0,,,,,,34966212.0251,30.0,,,,,,,,,,,,,,,,,0.0,2817801.271509777
"Container feeder, methanol",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,0.7711,,,,,,,,,0.0,,,,,,38462833.2276,30.0,,,,,,,,,,,,,,,,,0.0,3099581.3986599487
"Container, ammonia",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.7094,,,,,,,,,0.0,,,,,,143583536.7421,30.0,,,,,,,,,,,,,,,,,0.0,11570880.829451328
"Container, diesel",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.6399,,,,,,,,,0.0,,,,,,119652947.2851,31.0,,,,,,,,,,,,,,,,,0.0,9547934.997212326
"Container, methanol",,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.7001,,,,,,,,,0.0,,,,,,131618242.0136,31.0,,,,,,,,,,,,,,,,,0.0,10502728.49693276
Diesel Bus city,,,,0.0,,0.0004,250.0,,0.1068,,,,,,,,,,,,,,0.07,,,,2.2786,,,,,,,,,0.0,,,,,,150756.2732,12.0,,,,,,,,,,,,,,,,,0.1068,18981.11762319236
Diesel Coach,,,,0.0,,0.0003,350.0,,0.1068,,,,,,,,,,,,,,0.07,,,,2.393,,,,,,,,,0.0,,,,,,231296.0768,12.0,,,,,,,,,,,,,,,,,0.1068,29121.329925454735
Diesel Truck Semi-Trailer max 50 tons,,,,0.0,,0.0005,380.0,,0.1068,,,,,,,,,,,,,,0.07,,,,3.4385,,,,,,,,,0.0,,,,,,142012.114,10.5,,,,,,,,,,,,,,,,,0.1068,19547.753209571532
Diesel Truck Solo max 26 tons,,,,0.0,,0.0004,235.1724,,0.1068,,,,,,,,,,,,,,0.07,,,,2.3586,,,,,,,,,0.0,,,,,,155444.0931,13.8,,,,,,,,,,,,,,,,,0.1068,17929.604955127565
Diesel Truck Trailer max 56 tons,,,,0.0,,0.0004,382.3529,,0.1068,,,,,,,,,,,,,,0.07,,,,3.4819,,,,,,,,,0.0,,,,,,177515.1425,13.8,,,,,,,,,,,,,,,,,0.1068,20475.37680657082
FCV Bus city,,,,0.0,,0.0002,375.8621,,0.0979,,,,,,,,,,,,,,0.07,,,,1.6958,,,,,,,,,0.0,,,,,,356178.0895,12.0,,,,,,,,,,,,,,,,,0.0979,44844.242139574846
FCV Coach,,,,0.0,,0.0001,375.8621,,0.0952,,,,,,,,,,,,,,0.07,,,,1.6864,,,,,,,,,0.0,,,,,,653008.177,12.0,,,,,,,,,,,,,,,,,0.0952,82215.68110046657
FCV Truck Semi-Trailer max 50 tons,,,,0.0,,0.0002,492.2414,,0.0952,,,,,,,,,,,,,,0.07,,,,2.6623,,,,,,,,,0.0,,,,,,255848.6038,10.5,,,,,,,,,,,,,,,,,0.0952,35216.40671649023
FCV Truck Solo max 26 tons,,,,0.0,,0.0002,363.7931,,0.0952,,,,,,,,,,,,,,0.07,,,,1.7934,,,,,,,,,0.0,,,,,,276930.7366,13.8,,,,,,,,,,,,,,,,,0.0952,31941.8545514103
FCV Truck Trailer max 56 tons,,,,0.0,,0.0002,363.7931,,0.0952,,,,,,,,,,,,,,0.07,,,,2.9676,,,,,,,,,0.0,,,,,,299001.7859,13.8,,,,,,,,,,,,,,,,,0.0952,34487.58224922052
FT fuel transport ship,,,,0.0,,5.0,,,0.0,,,,75000.0,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,35000000.0,15.0,,,,,,,,,,,,,,,,,0.0,5592811.8645352265
Fischer-Tropsch,,,,0.0,,3.0,,,5.0512,,,,,0.9,,0.343,,,,,,,0.07,,,,0.799,,,,0.225,,,0.0075,,0.0,,,,,1.476,761417.4621,20.0,,,,,,,,,,,,,,,,,5.0512,94714.94582262349
Gasnetz,,,,0.0,,2.5,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,28000.0,30.0,,,,,,,,,,,,,,,,,0.0,2956.419298311113
General liquid hydrocarbon storage (crude),,,,0.0,,6.25,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,137.8999,30.0,,,,,,,,,,,,,,,,,0.0,19.731600735541882
General liquid hydrocarbon storage (product),,,,0.0,,6.25,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,172.3748,30.0,,,,,,,,,,,,,,,,,0.0,24.664490187947088
Gravity-Brick-bicharger,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9274,,,,,,,,,0.0,,,,,,415570.5177,41.7,,,,,,,,,,,,,,,,,0.0,37164.65513903668
Gravity-Brick-store,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,172353.7601,41.7,,,,,,,,,,,,,,,,,0.0,12828.366569056736
Gravity-Water-Aboveground-bicharger,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9014,,,,,,,,,0.0,,,,,,365630.713,60.0,,,,,,,,,,,,,,,,,0.0,31528.05320100989
Gravity-Water-Aboveground-store,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,133234.2464,60.0,,,,,,,,,,,,,,,,,0.0,9490.172181150754
Gravity-Water-Underground-bicharger,,,,0.0,,1.5,,,0.0,,,,,,,,,,,,,,0.07,,,,0.9014,,,,,,,,,0.0,,,,,,905158.9602,60.0,,,,,,,,,,,,,,,,,0.0,78051.15609244893
Gravity-Water-Underground-store,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,,,0.07,,,,1.0,,,,,,,,,0.0,,,,,,104935.0238,60.0,,,,,,,,,,,,,,,,,0.0,7474.440473100108
