carrier,1.0,0.75,0.5,0.25,0.0
CCGT,37753.0,37753.0,37753.0,37753.0,37753.0
hydro,10727.5,10727.5,10727.5,10727.5,10727.5
nuclear,1000.0,1000.0,1000.0,1000.0,1000.0
offwind,78680.95325579181,72669.58760274622,11704.945418540621,0.1530828596206102,0.0051569833586596284
oil,11310.6,11310.6,11310.6,11310.6,11310.6
onwind,20025.702622076045,40077.89350984057,264860.75984995364,341677.11080372694,2259748.8197783115
solar,170284.5530863533,169193.02641654675,163745.2754988597,159312.7549268492,63725.04560510867
battery storage,82338.28299130821,83313.63765623009,90713.5886335656,85103.78765024661,44172.45786934951
hydrogen storage underground,9598.239071487484,8557.310292656714,5290.591470254382,5241.875725093878,15022.985953790316
